,Lawyer_name,years_of_experience,no_of_cases,no_of_success_cases,fees_per_hearing,case_text
3745,18,17,5,1,38738,the courts task in construing a certified agreement such as the 2005 enterprise agreement was described by the high court in amcor limited v construction forestry mining and energy union 2005 hca 10 2005 222 clr 241 at 30 per gummow hayne and heydon jj adapting the language of that paragraph the question of construction is to be resolved as follows clause 174 must be read in context it is necessary therefore to have regard not only to the text of cl 174 but also to a number of other matters first the other provisions made by cl 17 secondly the text and operation of the 2005 enterprise agreement both as a whole and by reference to other particular provisions made by it and thirdly the legislative background against which the 2005 enterprise agreement was made and in which it was to operate see also gleeson cj and mchugh j at 2 kirby j at 93 and 96 and callinan j at 130 131 see also automotive food metals engineering printing amp kindred industries union v ardmona foods ltd 2006 155 ir 211 at 27 and liquor hospitality and miscellaneous union v prestige property services pty ltd 2005 141 ir 105 at 4849
20100,49,27,87,18,8113,because of the repetition of complaints as to the manner in which the hearing was conducted in effect alleging failure to accord procedural fairness and bias i have read the transcript of what occurred at that hearing in the light of the later reasons of the tribunal and in the light of the nature of the complaints made in the proceedings in the federal magistrates court and repeated in this court i have also taken into account the recent decision of the high court in szbel v minister for immigration and multicultural and indigenous affairs 2006 hca 63 231 alr 592 having done so i agree with the submission by counsel for the minister that there is nothing in that decision which causes any disquiet as to whether there was lack of procedural fairness or bias in the present circumstances scarlett fm adequately dealt with the criticisms of the tribunals procedure however one aspect of the matter concerned me the appellants basic case was that he feared persecution if he returned to china on account of his practising the christian religion in association with an unregistered church he claimed to have been converted to christianity by a fellow labourer in a construction gang who spread the gospel amongst gang members who met and studied the bible at secret gatherings he was baptised by a priest organised by the fellow labourer who also led the group into seeking to spread the gospel to other labourers and local villagers with religious propaganda materials this he claimed led to persecution at the hands of local authorities this caused him to flee china and come to australia he claims to have practised christianity at a local sydney church since arrival in australia during the course of the hearing the tribunal member referred to some particular country information and made it clear that she had difficulty in believing that studying the bible with a small group of workers not being of a particular denominational group or of a particular belief would be regarded as a church in the eyes of the communist government
7901,99,32,288,212,16976,in guo at 573 the high court also affirmed what was said in minister for immigration amp ethnic affairs v wu shan liang 1996 hca 6 1996 185 clr 259 at 281 that an opinion that one version of the facts is more probable than another is not necessarily inconsistent with the correct application of the chan test 46 in rajalingam sackville j with whom north j agreed discussed the various observations concerning the obligation of the tribunal to consider in its assessment of wellfounded fear as discussed by the high court in guo and wu shan liang whether there is real doubt that findings of fact as to past events were correct at 60 sackville j distilled those observations into the principle that there are circumstances in which the tribunal must take into account the possibility that alleged past events occurred even though it finds that those events probably did not occur if the tribunal makes an adverse finding in relation to a material claim of an appellant but is unable to make the claim with confidence it must proceed to assess the claim on the basis that the claim may possibly be true there are however limits to the application of this principle known as the what if i am wrong test this does not preclude the tribunal making a finding with certainty it is where the tribunal is uncertain as to whether an alleged event occurred or finds that the event might have occurred that it should in considering the ultimate question take into account the possibility that it did take place at 62
6340,91,24,184,76,9904,ace contractors amp staff pty ltd v westgarth development pty ltd 1999 fca 728 weinberg j set out a number of principles which he considered to be relevant on an application of this nature his honour said the authorities which govern the operation of s 459g of the corporations law seem to me to establish the following propositions 61863 the respondent is presumed to be insolvent and as such bears the onus of proving its solvency s 459c2 and 3 elite motor campers australia v leisureport pty ltd 1996 22 acsr 235 per spender j commissioner of taxation v simionato holdings pty ltd 1997 15 aclc 477 per mansfield j 61863 in order to discharge that onus the court should ordinarily be presented with the fullest and best evidence of the financial position of the respondent commonwealth bank of australia v begonia 1993 11 aclc 1075 at 1081 per hayne j 61863 unaudited accounts and unverified claims of ownership or valuation are not ordinarily probative of solvency nor are bald assertions of solvency arising from a general review of the accounts even if made by qualified accountants who have detailed knowledge of how those accounts were prepared simionato holdings pty ltd supra re citic commodity trading pty ltd v jbl enterprises wa pty ltd 1998 fca 232 per heerey j leslie v howship holdings pty ltd 1997 15 aclc 459 at 463 per sackville j 61863 there is a distinction between solvency and a surplus of assets a company may be at the same time insolvent and wealthy the nature of a companys assets and its ability to convert those assets into cash within a relatively short time at least to the extent of meeting all its debts as and when they fall due must be considered in determining solvency rees v bank of new south wales 1964 hca 47 1964 111 clr 210 re tweeds garages ltd 1962 ch 406 at 410 per plowman j simionato holdings pty ltd supra melbase corporation pty ltd v segenhoe ltd 1995 13 aclc 823 at 832 per lindgren j leslie v howship holdings pty ltd supra at 465466 61863 the adoption of a cash flow test for solvency does not mean that the extent of the companys assets is irrelevant to the inquiry the credit resources available to the company must also be taken into account sandell v porter 1966 hca 28 1966 115 clr 666 at 671 per barwick cj with whom mctiernan and windeyer jj agreed leslie v howship holdings pty ltd supra at 466 taylor v anz banking group ltd 1988 6 aclc 808 at 812 per mcgarvie j 61863 the question of solvency must be assessed at the date of the hearing however this does not mean that future events are to be ignored leslie v howship holdings pty ltd supra at 466467 61863 it is no abuse of process for an applicant to seek to wind up a company presumed to be insolvent by reason of its failure to comply with a statutory demand merely because that company contends that it is solvent or because there may be alternative means available to the applicant to vindicate its rights elite motor campers australia v leisureport pty ltd supra
22406,55,37,7,2,6960,the relevant authorities indicate that the general law duties of a receiver when exercising a power of sale are analogous to those of a mortgagee see for example expo international pty ltd receivers and managers appointed in liq v chant 1979 2 nswlr 820 as i observed in gomez v state bank of nsw ltd 2001 fca 1059 at 10 that duty is a duty to act in good faith without wilfully or recklessly sacrificing the interests of the mortgagor the principle underlying the duty is that of unconscionability hawkesbury valley developments pty ltd v custom credit corporation ltd 1995 nsw conv r 55731 per mclelland cj in eq
2864,66,26,408,263,26511,the tribunals findings on credibility were central to its decision a finding on credibility that was open to the tribunal on the material before it does not give rise to an error of law see mashayekhi v minister for immigration and multicultural affairs 2000 fca 321 2000 97 fcr 381 and w14800a v minister for immigration and multicultural affairs 2001 185 alr 703 findings on credibility were described by mchugh j in re minister for immigration ex parte durairajasingham 2000 hca 1 2000 168 alr 407 as the function of the primary decisionmaker par excellence at 423 67 that does not mean that such findings are invulnerable to review but it does mean that they will not ordinarily be reviewable if the tribunal has provided a rational basis for rejecting the claims and relied upon matters that were logically probative of the issues it was determining see kopalapillai v minister for immigration and multicultural affairs 1998 86 fcr 547 at 552 and 559
1087,87,15,92,61,49933,it is significant to recall that all parties needed to confront the principal question in the proceedings on the basis there existed only one previous decision of the court that of hamersley iron pty ltd v national competition council 1999 164 alr 203 hamersley which dealt with the interpretation of the term use of a production process within s 44b of the act and which involved a very similar factual scenario to the proceedings fortescues principal contention was that applying the marketable commodity test to the factual scenario as contended for by fortescue a marketable commodity was produced in bhpbios operations before the iron ore was railed to the port as an alternative contention fortescue sought to distinguish hamersley on a number of grounds 30 bhpbio had good legal grounds for its position and conducted itself in the litigation reasonably and appropriately nevertheless bhpbio was the losing party and fortescue would ordinarily be entitled to its costs however despite fortescues ultimate success in the proceedings i did not find in favour of fortescue on certain factual and legal issues or inquiries nevertheless i do not consider it appropriate in the circumstances to disentitle fortescue to its whole costs in the proceedings 31 the conduct of fortescue in this proceeding was neither inappropriate nor unreasonable fortescue structured its case primarily on the basis of the correctness of the decision in hamersley therefore it seems to me that seeking to apply the marketable commodity test as expounded in that decision was an entirely appropriate and reasonable approach further it seems to me that fortescue seeking in the alternative to distinguish the hamersley decision on a number of grounds was similarly appropriate and reasonable in addition i do not see any inappropriate or unreasonable behaviour on the part of fortescue in its approach to putting bhpbio to proof on factual matters or contentions the court accepted in essence the actual process and operations as contended for by bhpbio however the conclusions of the court were determined objectively and not by reference to bhpbios own subjective views or characterisations or by reference to the subjective views or characterisations of the witnesses called on behalf of bhpbio fortescue was entitled to test the evidence put forward by bhpbio especially in respect of such subjective views and characterisations 32 in hamersley the learned trial judge held the term production process meant a series of operations by which a marketable commodity is created or manufactured at 213 the test required as a question of fact and degree a consideration of the actual operation of the activities in question considered as a whole at 213 the evidence as to marketable commodity whilst it may be separately identified was all part of the material the court needed to consider in determining the actual operation of the activities in question accordingly it does not seem unreasonable for fortescue to have approached in the way it did the material placed before the court the principal question for determination in the proceedings was not a mere matter of statutory interpretation of the term the use of a production process that could be dealt with by demurrer rather the court was required to consider in detail the factual evidence of bhpbios operations and apply the construction of the term the use of a production process whether that construction be the one set out in hamersley or the construction for which the court ultimately found there does not seem to me to be any element of unreasonableness or inappropriateness in fortescue directing its evidence submissions and crossexamination to the application of that test to the facts of this case 33 this is not the end of the inquiry as i have indicated the exercise of the discretion to make an order as to costs is not just limited to a consideration of the reasonableness or appropriateness of the conduct of a party in connection with the proceedings it may also be appropriate to discount an order in favour of a successful litigant in circumstances where it has lost certain issues or inquiries which can clearly be treated as distinct and severable 34 at the outset i do not consider that the matters upon which fortescue was unsuccessful were relevantly distinct or severable although they can be identified rather the matters on which fortescue was unsuccessful were alternative arguments in support of the one principal question in the proceedings that is whether either of the relevant services was a service within the meaning of s 44b of the act the matters raised by fortescue were sufficiently linked to this principal question in the proceedings fortescue did not seek to raise a separate matter for determination by way of a positive defence 35 however to the extent the issues or inquiries upon which fortescue lost can be identified and even if they be relevantly distinct and severable in my view none of the matters sought to be addressed by fortescue were so disproportionate to the whole case or so lacked merit or so adversely impacted upon the economy and efficiency of the proceedings according to case management principles as to warrant an order to deprive fortescue of some or all of its costs as i have said i was required to consider in detail the factual evidence and apply that evidence to the construction of the term use of a production process which fortescue reasonably contested the ultimate ends of justice would not be served by fortescue not recovering its costs because of its failure on some identifiable or even distinct and severable issues or inquiries when those issues or inquiries needed to be canvassed as being material to the reaching of a decision
11266,19,35,367,46,25244,summons itself refers to a special investigation and it has the determination attached to it the determination plainly relates to a special investigation the statement of facts and circumstances document refers to a special investigation and to the determination and the legal submissions document refers to the determination and to a special investigation it seems to me that looking at the documents as a whole it has not been established that the second respondent misunderstood the nature of the instrument pursuant to which he was issuing the summons it is more likely that some of the dangers of using a standard form document have been realised see the observations of the full court of this court in australian crime commission v ntd8 2009 fcafc 86 at 34 the second ground upon which the applicant challenged the second respondents decision to issue the second summons was that he misunderstood the exercise he was performing the applicant referred to the fact that the legal submissions document is referred to under the heading material facts and to the fact that in one part of the reasons he states that he had regard to 169 my knowledge obtained from a recent examination and yet when setting out his conclusions under the heading consideration he makes no reference to that piece of information it seems to me that however one looks at those matters neither of them establishes an error which is a jurisdictional error the third ground upon which the applicant challenged the second respondents decision to issue the second summons is that the second respondent did not consider or properly consider the inclusion of the notation referred to in s 29a of the act in formulating his reasons for including the notation there is nothing to prevent the second respondent from relying on each of paragraphs a b and c in s 29a2 see 35 above furthermore it is clear from the reference in paragraph 6 in the terms approved by me see 8 above that he addressed the terms of the notation
10984,6,40,495,123,18880,the notion of causing has been said to be one of common sense environment agency formerly national rivers authority v empress car co abertillery ltd 1998 ukhl 5 1999 2 ac 22 at 29 per lord hoffman but whatever may be conveyed by the reference to common sense answers to questions of causation will differ according to the purpose for which the question is asked travel compensation fund v tambree 2005 hca 69 2005 224 clr 627 at 45 allianz australia insurance limited v gsf australia pty ltd 2005 hca 26 2005 221 clr 568 at 96 97 chappel v hart 1998 hca 55 1998 195 clr 232 at 63 64 per gummow j and at 122 per hayne j
18614,47,32,28,5,49356,defining private rights for this purpose is a distinct challenge note heydon jd injunctions and declarations in stein la ed locus standi law book company 1979 at 3839 traditionally they have included proprietary and financial interests davies j in alphapharm pty ltd v smithkline beecham australia pty ltd 1994 49 fcr 250 at 259 nicholson j in allan v development allowance authority 1998 80 fcr 583 at 598 the distinction between rights which are private rights enabling commencement of proceedings by way for example of declaratory and injunctive relief and public rights the enforcement of which lay at the feet of the attorneygeneral has however blurred over time to permit individuals to bring proceedings where the individual suffers special damage peculiar to himself or herself from the interference with the public right boyce 1903 1 ch at 114 although this principle has received recognition in australian law note for example comments of gavan duffy cj starke and evatt jj in anderson v commonwealth of australia 1932 hca 2 1932 47 clr 50 at 52 mason j in robinson v western australian museum 1977 138 clr 238 at 327 australian conservation foundation 146 clr per gibbs j at 526527 stephen j at 537538 and mason j at 547 onus v alcoa of australia ltd 1981 hca 50 1981 149 clr 27 per gibbs cj at 3536 davis 1986 hca 66 1986 68 alr 18 shop distributive and allied employees association v minister for industrial affairs of the state of south australia 1995 hca 11 1995 183 clr 552 at 558 allan v development allowance authority 80 fcr per wilcox j at 58687 nicholson j at 598 giving effect to the principle raises difficulties in itself a useful summary of cases and difficulties of application of relevant principles as existed at the time can be found in heydon in stein 1979 at 3840 4554
21051,31,12,216,5,13119,these observations were approved by cooper j with whom sheppard and neaves jj agreed in cummings v lewis 1993 41 fcr 559 at 602603 see also dr martens australia pty ltd v figgins holdings pty ltd no 2 2000 fca 602 at 54 and black and decker inc v gmca pty ltd no 3 2008 fca 932
